attribute,category,type,question,option_1,option_2,option_3,result_majority,agreement
Elasticity,coconut,Physics,"Elasticity: If you were to deform a coconut (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface smoothness,coconut,Physics,Surface smoothness: What is the surface smoothness of a coconut?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,1.0,0.75
Sharpness,coconut,Physics,Sharpness: What is sharpness of a coconut?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,coconut,Physics,Malleability: Can a coconut be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,coffee_maker,Physics,"Elasticity: If you were to deform a coffee_maker (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Brittleness,coffee_maker,Physics,"Brittleness: How easy is it for a coffee_maker to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,coffee_maker,Physics,"Softness: What is the softness (fluffyness, squishiness) of a coffee_maker?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Sharpness,coffee_maker,Physics,Sharpness: What is sharpness of a coffee_maker?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,coffee_maker,Physics,Malleability: Can a coffee_maker be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,coffeepot,Physics,"Elasticity: If you were to deform a coffeepot (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Brittleness,coffeepot,Physics,"Brittleness: How easy is it for a coffeepot to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,coffeepot,Physics,"Softness: What is the softness (fluffyness, squishiness) of a coffeepot?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Malleability,coffeepot,Physics,Malleability: Can a coffeepot be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,coil,Physics,"Elasticity: If you were to deform a coil (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,3.0,0.75
Brittleness,coil,Physics,"Brittleness: How easy is it for a coil to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,coil,Physics,"Softness: What is the softness (fluffyness, squishiness) of a coil?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Sharpness,coil,Physics,Sharpness: What is sharpness of a coil?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Elasticity,coin,Physics,"Elasticity: If you were to deform a coin (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface Hardness,coin,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a coin?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,3.0,0.75
Brittleness,coin,Physics,"Brittleness: How easy is it for a coin to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,coin,Physics,"Softness: What is the softness (fluffyness, squishiness) of a coin?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,coin,Physics,Sharpness: What is sharpness of a coin?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Stiffness,coin,Physics,Stiffness: What is the amount of continued weight that a coin can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Malleability,coin,Physics,Malleability: Can a coin be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Brittleness,colander,Physics,"Brittleness: How easy is it for a colander to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,colander,Physics,"Softness: What is the softness (fluffyness, squishiness) of a colander?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Brittleness,collar,Physics,"Brittleness: How easy is it for a collar to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Elasticity,combination_lock,Physics,"Elasticity: If you were to deform a combination_lock (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface Hardness,combination_lock,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a combination_lock?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,3.0,0.75
Softness,combination_lock,Physics,"Softness: What is the softness (fluffyness, squishiness) of a combination_lock?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,combination_lock,Physics,Sharpness: What is sharpness of a combination_lock?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Stiffness,combination_lock,Physics,Stiffness: What is the amount of continued weight that a combination_lock can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Malleability,combination_lock,Physics,Malleability: Can a combination_lock be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Brittleness,comic_book,Physics,"Brittleness: How easy is it for a comic_book to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Elasticity,compass,Physics,"Elasticity: If you were to deform a compass (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,compass,Physics,"Softness: What is the softness (fluffyness, squishiness) of a compass?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Malleability,compass,Physics,Malleability: Can a compass be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,computer,Physics,"Elasticity: If you were to deform a computer (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,computer,Physics,"Softness: What is the softness (fluffyness, squishiness) of a computer?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,computer,Physics,Sharpness: What is sharpness of a computer?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,computer,Physics,Malleability: Can a computer be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,computer_keyboard,Physics,"Elasticity: If you were to deform a computer_keyboard (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,computer_keyboard,Physics,"Softness: What is the softness (fluffyness, squishiness) of a computer_keyboard?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Malleability,computer_keyboard,Physics,Malleability: Can a computer_keyboard be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,sausage,Physics,"Elasticity: If you were to deform a sausage (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,0.75
Surface smoothness,sausage,Physics,Surface smoothness: What is the surface smoothness of a sausage?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Softness,sausage,Physics,"Softness: What is the softness (fluffyness, squishiness) of a sausage?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,0.75
Sharpness,sausage,Physics,Sharpness: What is sharpness of a sausage?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Elasticity,sawhorse,Physics,"Elasticity: If you were to deform a sawhorse (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,sawhorse,Physics,"Softness: What is the softness (fluffyness, squishiness) of a sawhorse?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Stiffness,sawhorse,Physics,Stiffness: What is the amount of continued weight that a sawhorse can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Malleability,sawhorse,Physics,Malleability: Can a sawhorse be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,scarf,Physics,"Elasticity: If you were to deform a scarf (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,3.0,0.75
Surface smoothness,scarf,Physics,Surface smoothness: What is the surface smoothness of a scarf?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Brittleness,scarf,Physics,"Brittleness: How easy is it for a scarf to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,scarf,Physics,"Softness: What is the softness (fluffyness, squishiness) of a scarf?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,1.0
Sharpness,scarf,Physics,Sharpness: What is sharpness of a scarf?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Stiffness,scarf,Physics,Stiffness: What is the amount of continued weight that a scarf can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Malleability,scarf,Physics,Malleability: Can a scarf be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,3.0,0.75
Elasticity,scissors,Physics,"Elasticity: If you were to deform a scissors (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface Hardness,scissors,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a scissors?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,3.0,0.75
Brittleness,scissors,Physics,"Brittleness: How easy is it for a scissors to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,scissors,Physics,"Softness: What is the softness (fluffyness, squishiness) of a scissors?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,scissors,Physics,Sharpness: What is sharpness of a scissors?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,3.0,1.0
Stiffness,scissors,Physics,Stiffness: What is the amount of continued weight that a scissors can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Malleability,scissors,Physics,Malleability: Can a scissors be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,scraper,Physics,"Elasticity: If you were to deform a scraper (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface Hardness,scraper,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a scraper?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,3.0,0.75
Brittleness,scraper,Physics,"Brittleness: How easy is it for a scraper to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,scraper,Physics,"Softness: What is the softness (fluffyness, squishiness) of a scraper?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Stiffness,scraper,Physics,Stiffness: What is the amount of continued weight that a scraper can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,1.0
Malleability,scraper,Physics,Malleability: Can a scraper be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,screen,Physics,"Elasticity: If you were to deform a screen (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface smoothness,screen,Physics,Surface smoothness: What is the surface smoothness of a screen?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Softness,screen,Physics,"Softness: What is the softness (fluffyness, squishiness) of a screen?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Malleability,screen,Physics,Malleability: Can a screen be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,screwdriver,Physics,"Elasticity: If you were to deform a screwdriver (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface Hardness,screwdriver,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a screwdriver?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,3.0,1.0
Brittleness,screwdriver,Physics,"Brittleness: How easy is it for a screwdriver to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Softness,screwdriver,Physics,"Softness: What is the softness (fluffyness, squishiness) of a screwdriver?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Sharpness,screwdriver,Physics,Sharpness: What is sharpness of a screwdriver?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,3.0,0.75
Stiffness,screwdriver,Physics,Stiffness: What is the amount of continued weight that a screwdriver can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Malleability,screwdriver,Physics,Malleability: Can a screwdriver be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,scrub_brush,Physics,"Elasticity: If you were to deform a scrub_brush (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Brittleness,scrub_brush,Physics,"Brittleness: How easy is it for a scrub_brush to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Malleability,scrub_brush,Physics,Malleability: Can a scrub_brush be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,seashell,Physics,"Elasticity: If you were to deform a seashell (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface smoothness,seashell,Physics,Surface smoothness: What is the surface smoothness of a seashell?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,1.0,0.75
Softness,seashell,Physics,"Softness: What is the softness (fluffyness, squishiness) of a seashell?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Malleability,seashell,Physics,Malleability: Can a seashell be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,shaker,Physics,"Elasticity: If you were to deform a shaker (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Brittleness,shaker,Physics,"Brittleness: How easy is it for a shaker to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,shaker,Physics,"Softness: What is the softness (fluffyness, squishiness) of a shaker?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,shaker,Physics,Sharpness: What is sharpness of a shaker?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,shaker,Physics,Malleability: Can a shaker be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Surface smoothness,shampoo,Physics,Surface smoothness: What is the surface smoothness of a shampoo?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Brittleness,shampoo,Physics,"Brittleness: How easy is it for a shampoo to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Softness,shampoo,Physics,"Softness: What is the softness (fluffyness, squishiness) of a shampoo?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Sharpness,shampoo,Physics,Sharpness: What is sharpness of a shampoo?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,shampoo,Physics,Malleability: Can a shampoo be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,sharpener,Physics,"Elasticity: If you were to deform a sharpener (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Brittleness,sharpener,Physics,"Brittleness: How easy is it for a sharpener to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Softness,sharpener,Physics,"Softness: What is the softness (fluffyness, squishiness) of a sharpener?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,sharpener,Physics,Sharpness: What is sharpness of a sharpener?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,3.0,1.0
Malleability,sharpener,Physics,Malleability: Can a sharpener be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,shaver,Physics,"Elasticity: If you were to deform a shaver (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,shaver,Physics,"Softness: What is the softness (fluffyness, squishiness) of a shaver?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,shaver,Physics,Sharpness: What is sharpness of a shaver?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,3.0,1.0
Malleability,shaver,Physics,Malleability: Can a shaver be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,shawl,Physics,"Elasticity: If you were to deform a shawl (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,3.0,1.0
Surface smoothness,shawl,Physics,Surface smoothness: What is the surface smoothness of a shawl?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Brittleness,shawl,Physics,"Brittleness: How easy is it for a shawl to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,shawl,Physics,"Softness: What is the softness (fluffyness, squishiness) of a shawl?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,0.75
Sharpness,shawl,Physics,Sharpness: What is sharpness of a shawl?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Stiffness,shawl,Physics,Stiffness: What is the amount of continued weight that a shawl can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,1.0
Elasticity,shears,Physics,"Elasticity: If you were to deform a shears (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Brittleness,shears,Physics,"Brittleness: How easy is it for a shears to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Softness,shears,Physics,"Softness: What is the softness (fluffyness, squishiness) of a shears?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,shears,Physics,Sharpness: What is sharpness of a shears?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,3.0,1.0
Stiffness,shears,Physics,Stiffness: What is the amount of continued weight that a shears can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Malleability,shears,Physics,Malleability: Can a shears be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,shelf,Physics,"Elasticity: If you were to deform a shelf (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Brittleness,shelf,Physics,"Brittleness: How easy is it for a shelf to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
